site,daf,fruit,weight,pene,brix,a*,egdd,fgdd,groundspot_a*,glucose,fructose,sucrose,total,glucose+fructose,starch,sweetness,flavour,dry/moist,fibre,heat_input_emerg,heat_input_flower,cls
2,0,15,1712.0,6.9,8.4,12.2,651.0,262.0,-0.3,7.4,8.4,17.4,33.1,16.3,137.2,505.5,542.9,597.4,226.1,721.0,332.0,0
2,0,17,1674.0,7.7,8.7,11.3,651.0,262.0,3.6,7.4,8.4,17.4,33.1,16.3,137.2,339.4,393.5,264.2,312.6,721.0,332.0,1
2,0,18,1619.0,6.7,7.7,12.8,651.0,262.0,0.8,7.4,8.4,17.4,33.1,16.3,137.2,538.5,605.5,440.4,307.6,721.0,332.0,0
2,0,7,2228.0,7.5,9.0,11.4,651.0,262.0,-1.2,7.4,8.4,17.4,33.1,16.3,137.2,314.0,436.8,175.8,328.1,721.0,332.0,1
2,1,15,1722.0,7.4,9.6,17.6,772.0,372.0,-4.8,16.3,14.9,16.6,47.8,31.2,109.0,604.3,621.6,538.1,312.6,842.0,442.0,0
2,1,18,2523.0,7.9,10.2,16.6,772.0,372.0,1.8,6.8,7.7,23.2,37.7,14.5,143.0,464.4,744.0,396.4,307.1,842.0,442.0,0
2,1,20,1502.0,7.7,9.8,14.2,772.0,372.0,0.4,10.7,11.5,19.3,41.5,22.2,127.0,536.8,773.8,567.7,208.8,842.0,442.0,0
2,1,6,1678.0,9.5,10.4,16.6,772.0,372.0,1.6,9.7,10.2,23.6,43.5,19.9,152.9,439.0,782.8,231.2,375.4,842.0,442.0,1
2,2,11,1608.0,9.7,10.2,18.8,891.0,461.0,8.8,13.4,11.8,20.0,45.2,25.2,54.0,692.4,851.4,375.9,378.2,961.0,531.0,0
2,2,4,1576.0,8.8,10.8,19.2,891.0,461.0,11.4,10.4,10.6,23.6,44.6,21.0,91.0,704.4,784.5,405.7,302.9,961.0,531.0,2
2,2,6,1719.0,8.6,8.9,14.9,891.0,461.0,10.3,16.2,13.2,14.3,43.7,29.4,44.5,532.8,708.9,588.2,416.9,961.0,531.0,0
2,2,10,1162.0,8.1,8.9,17.6,891.0,461.0,9.6,17.2,15.3,12.6,45.2,32.5,59.8,607.5,754.3,505.5,357.1,961.0,531.0,0
2,3,21,1600.0,10.2,10.7,24.6,953.0,542.0,8.7,16.6,13.0,23.0,52.6,29.7,56.7,748.9,764.3,882.9,398.0,1023.0,612.0,0
2,3,1,1500.0,10.4,12.0,22.7,953.0,542.0,7.0,11.8,10.1,29.5,51.4,21.8,119.1,819.6,891.1,615.9,282.0,1023.0,612.0,2
2,3,7,1800.0,10.3,9.3,19.4,953.0,542.0,7.9,14.5,13.1,16.3,43.9,27.6,83.2,650.9,704.5,756.7,221.9,1023.0,612.0,0
2,3,10,2100.0,11.7,14.0,21.1,953.0,542.0,10.9,12.3,9.1,39.3,60.7,21.4,101.3,957.5,1002.5,574.9,310.6,1023.0,612.0,2
0,0,11,1064.0,5.7,5.2,4.8,601.0,272.0,2.0,8.2,10.0,3.6,21.8,18.1,57.3,409.6,409.9,849.4,243.4,671.0,342.0,1
0,0,15,1804.0,5.0,5.6,3.5,601.0,272.0,-4.3,4.8,6.9,6.3,18.0,11.7,98.3,348.0,545.8,670.6,140.4,671.0,342.0,1
0,0,3,1969.0,6.0,5.4,3.5,601.0,272.0,-0.5,4.8,6.5,6.6,17.8,11.2,113.2,341.8,550.4,583.9,249.5,671.0,342.0,1
0,0,7,1437.0,4.6,5.1,1.4,601.0,272.0,-5.8,5.4,7.7,4.4,17.5,13.1,101.7,312.6,470.4,737.6,191.2,671.0,342.0,1
0,1,15,1537.0,7.0,6.9,7.8,664.0,323.0,4.8,3.0,4.9,9.8,17.8,7.9,162.0,322.5,549.9,447.9,230.1,734.0,393.0,1
0,1,19,2523.0,7.0,7.7,8.7,664.0,323.0,6.4,1.4,2.2,14.1,17.7,3.6,189.3,225.0,438.8,392.6,254.8,734.0,393.0,1
0,1,21,2056.0,7.5,7.5,8.8,664.0,323.0,2.8,1.5,1.8,12.0,15.2,3.3,137.5,317.8,673.5,581.3,219.4,734.0,393.0,1
0,1,6,2175.0,7.9,7.8,7.9,664.0,323.0,7.6,4.1,6.0,14.5,24.6,10.1,173.2,496.5,693.5,418.9,287.9,734.0,393.0,1
0,2,21,2254.0,8.9,9.0,10.8,727.0,376.0,6.3,6.0,7.6,17.6,31.2,13.6,114.4,512.5,721.9,531.2,188.2,797.0,446.0,0
0,2,4,1772.0,9.8,9.6,11.5,727.0,376.0,12.1,6.1,10.0,18.4,34.4,16.1,120.9,617.3,781.6,434.4,239.6,797.0,446.0,2
0,2,8,2180.0,9.5,10.7,11.0,727.0,376.0,10.1,6.6,8.2,21.2,36.0,14.8,151.7,585.0,644.5,215.7,263.7,797.0,446.0,0
0,2,14,1878.0,10.9,10.1,11.6,727.0,376.0,8.5,4.1,5.2,19.9,29.3,9.4,183.3,431.3,617.5,188.0,329.5,797.0,446.0,1
0,3,20,1910.0,9.5,11.2,10.3,804.0,438.0,8.4,5.4,7.2,26.1,38.7,12.6,192.2,506.2,519.9,297.8,131.2,874.0,508.0,0
0,3,1,2324.0,10.0,12.0,11.9,804.0,438.0,12.3,2.4,3.0,29.4,34.8,5.4,196.2,363.2,533.6,228.1,129.0,874.0,508.0,1
0,3,10,2174.0,9.7,10.1,12.2,804.0,438.0,15.8,2.6,3.2,21.5,27.2,5.8,164.3,493.1,646.9,329.1,119.6,874.0,508.0,0
0,3,12,2094.0,9.7,10.8,15.1,804.0,438.0,12.1,4.8,6.3,22.7,33.8,11.1,148.0,561.4,676.6,454.3,178.6,874.0,508.0,0
1,0,0,1449.0,3.2,5.4,8.7,602.0,190.0,-5.7,9.1,11.3,4.4,24.9,20.4,102.9,298.6,506.5,453.1,272.4,672.0,260.0,0
1,0,11,1581.0,3.5,6.0,6.0,602.0,190.0,-5.7,6.3,9.0,5.3,20.6,15.4,125.9,280.7,448.9,373.5,256.7,672.0,260.0,1
1,0,16,1654.0,3.0,5.3,5.1,602.0,190.0,-9.1,7.4,10.2,3.5,21.2,17.6,97.6,317.6,350.3,680.9,211.3,672.0,260.0,0
1,0,20,1772.0,3.1,6.3,6.1,602.0,190.0,-8.4,9.8,11.9,5.8,27.5,21.7,112.0,430.0,530.7,548.2,333.6,672.0,260.0,0
1,1,17,1387.0,8.8,8.1,10.0,626.0,240.0,1.6,4.4,6.3,14.4,25.1,10.7,210.1,362.6,453.3,270.2,303.7,696.0,310.0,1
1,1,5,1731.0,5.3,6.6,8.2,626.0,240.0,0.9,6.9,10.3,7.8,25.0,17.2,152.5,327.1,462.1,453.7,267.4,696.0,310.0,1
1,1,7,1409.0,6.3,7.1,9.2,626.0,240.0,-3.5,6.3,9.2,9.9,25.3,15.4,157.0,375.6,493.3,400.2,395.5,696.0,310.0,1
1,1,9,1341.0,6.4,7.5,7.8,626.0,240.0,2.3,5.9,8.4,11.2,25.5,14.3,187.3,319.6,415.8,272.1,281.7,696.0,310.0,1
1,2,15,1420.0,8.4,10.9,14.5,667.0,296.0,2.4,7.4,8.4,17.4,33.1,16.3,137.2,348.8,495.9,208.4,361.7,737.0,366.0,1
1,2,16,1542.0,8.9,11.8,14.5,667.0,296.0,3.3,3.9,4.8,28.6,37.2,8.6,193.4,411.8,454.1,162.6,344.0,737.0,366.0,1
1,2,18,1858.0,9.2,10.4,14.3,667.0,296.0,6.7,5.8,7.6,22.2,35.7,13.5,188.7,416.0,417.2,151.6,372.9,737.0,366.0,1
1,2,13,1294.0,7.4,10.0,14.2,667.0,296.0,4.7,8.8,10.6,17.6,37.1,19.5,164.1,435.0,592.5,391.6,246.9,737.0,366.0,0
1,3,19,1581.0,8.1,10.6,13.0,704.0,309.0,8.5,6.2,8.0,22.8,37.0,14.2,163.1,549.5,641.4,439.7,164.5,774.0,379.0,0
1,3,1,1514.0,8.4,12.7,14.0,704.0,309.0,10.4,2.4,2.7,31.7,36.8,5.1,234.3,479.6,621.6,221.0,243.1,774.0,379.0,1
1,3,2,1292.0,7.9,9.8,13.9,704.0,309.0,5.0,9.8,12.3,18.0,40.2,22.2,146.6,605.3,654.1,432.9,307.9,774.0,379.0,0
1,3,4,1742.0,8.0,10.9,12.8,704.0,309.0,7.2,5.1,6.6,21.5,33.2,11.7,198.8,486.6,644.6,222.1,209.6,774.0,379.0,1
1,4,11,1713.0,10.0,11.9,16.7,709.0,368.0,13.9,3.3,4.0,23.2,30.5,30.5,187.2,492.9,577.7,264.4,188.1,779.0,438.0,1
1,4,15,1635.0,9.9,10.2,18.9,709.0,368.0,16.8,6.5,7.7,19.1,33.4,14.2,111.2,564.9,649.6,555.5,156.9,779.0,438.0,0
1,4,5,1669.0,8.9,11.0,17.2,709.0,368.0,4.8,5.2,6.1,22.6,34.0,11.3,131.7,575.5,670.0,329.3,156.6,779.0,438.0,0
1,4,12,1813.0,9.3,10.1,13.4,709.0,368.0,17.9,7.4,8.4,17.4,33.1,16.3,137.2,501.2,707.1,432.1,196.9,779.0,438.0,0
