P,N,O,cls
668.9,2100.4,641.2,1
984.3,1920.2,502.6,0
433.2,2329.1,658.5,0
132.6,219.3,147.9,0
290.7,168.3,45.9,0
91.8,142.8,270.3,0
692.9,2110.1,647.7,1
1051.6,1869.8,511.9,0
497.9,2329.5,626.8,0
125.2,210.4,150.3,0
280.6,150.3,60.1,0
85.2,135.3,280.6,0
563.4,2206.4,836.1,1
952.4,2039.2,617.9,0
428.9,2537.2,643.4,0
96.3,228.1,172.4,0
218.0,212.9,71.0,0
86.2,147.0,268.7,0
394.5,2181.9,879.7,1
733.1,2073.6,642.3,0
422.4,2398.3,638.9,0
90.2,230.5,165.3,0
210.4,200.4,80.2,0
70.1,120.2,305.6,0
339.0,2256.3,896.9,1
663.8,2182.2,646.2,0
349.6,2567.0,589.7,0
80.0,220.0,190.0,0
180.0,225.0,90.0,0
80.0,125.0,285.0,0
329.2,2283.7,792.1,1
678.9,2119.1,603.5,0
370.3,2338.6,692.7,0
80.0,265.0,140.0,0
185.0,240.0,70.0,0
65.0,130.0,295.0,0
418.2,2167.4,580.9,1
740.5,2017.3,395.8,0
383.0,2183.3,587.3,0
81.1,263.6,147.0,0
228.1,202.8,65.9,0
76.1,147.0,273.8,0
494.4,2333.5,601.5,1
847.0,2126.1,446.0,0
421.8,2371.5,632.6,0
80.2,250.5,150.3,0
190.4,230.5,75.1,0
70.1,145.3,280.6,0
539.2,2220.8,576.3,1
845.9,2055.7,431.4,0
401.0,2338.8,596.5,0
95.9,257.6,131.3,0
212.1,217.1,75.8,0
85.9,121.2,297.9,0
467.5,2167.1,492.8,1
739.2,1983.9,401.2,0
388.6,2211.3,527.6,0
80.0,240.0,150.0,0
205.0,205.0,80.0,0
70.0,130.0,290.0,0
426.9,2102.1,703.9,1
638.8,2040.1,544.3,0
400.9,2219.4,612.7,0
75.6,252.0,156.2,0
141.1,262.1,95.8,0
55.4,126.0,312.5,0
333.6,1915.7,899.1,1
565.5,1884.0,692.6,0
339.9,2128.6,689.4,0
55.4,191.5,236.9,0
131.0,231.8,136.1,0
50.4,126.0,322.6,0
