PARTNERS,TYPE,THORAX,SLEEP,cls
2,0,35.0,0.64,0
2,0,37.0,0.68,0
2,0,49.0,0.68,1
2,0,46.0,0.72,0
2,0,63.0,0.72,0
2,0,39.0,0.76,1
2,0,46.0,0.76,0
2,0,56.0,0.76,0
2,0,63.0,0.76,0
2,0,65.0,0.76,1
2,0,56.0,0.8,0
2,0,65.0,0.8,0
2,0,70.0,0.8,1
2,0,63.0,0.84,1
2,0,65.0,0.84,1
2,0,70.0,0.84,0
2,0,77.0,0.84,0
2,0,81.0,0.84,0
2,0,86.0,0.84,0
2,0,70.0,0.88,1
2,0,70.0,0.88,0
2,0,77.0,0.92,1
2,0,77.0,0.92,1
2,0,81.0,0.92,1
2,0,77.0,0.94,1
0,2,40.0,0.64,0
0,2,37.0,0.7,0
0,2,44.0,0.72,0
0,2,47.0,0.72,0
0,2,47.0,0.72,0
0,2,47.0,0.76,0
0,2,68.0,0.78,1
0,2,47.0,0.8,0
0,2,54.0,0.84,1
0,2,61.0,0.84,0
0,2,71.0,0.84,0
0,2,75.0,0.84,0
0,2,89.0,0.84,0
0,2,58.0,0.88,1
0,2,59.0,0.88,1
0,2,62.0,0.88,0
0,2,79.0,0.88,1
0,2,96.0,0.88,1
0,2,58.0,0.92,1
0,2,62.0,0.92,0
0,2,70.0,0.92,1
0,2,72.0,0.92,0
0,2,75.0,0.92,0
0,2,96.0,0.92,0
0,2,75.0,0.94,1
1,0,46.0,0.64,0
1,0,42.0,0.68,0
1,0,65.0,0.72,0
1,0,46.0,0.76,1
1,0,58.0,0.76,0
1,0,42.0,0.8,1
1,0,48.0,0.8,1
1,0,58.0,0.8,1
1,0,50.0,0.82,0
1,0,80.0,0.82,0
1,0,63.0,0.84,0
1,0,65.0,0.84,0
1,0,70.0,0.84,0
1,0,70.0,0.84,0
1,0,72.0,0.84,1
1,0,97.0,0.84,0
1,0,46.0,0.88,0
1,0,56.0,0.88,1
1,0,70.0,0.88,0
1,0,70.0,0.88,0
1,0,72.0,0.88,1
1,0,76.0,0.88,0
1,0,90.0,0.88,0
1,0,76.0,0.92,1
1,0,92.0,0.92,1
1,1,21.0,0.68,0
1,1,40.0,0.68,1
1,1,44.0,0.72,1
1,1,54.0,0.76,0
1,1,36.0,0.78,0
1,1,40.0,0.8,1
1,1,56.0,0.8,0
1,1,60.0,0.8,1
1,1,48.0,0.84,0
1,1,53.0,0.84,1
1,1,60.0,0.84,0
1,1,60.0,0.84,0
1,1,65.0,0.84,0
1,1,68.0,0.84,1
1,1,60.0,0.88,0
1,1,81.0,0.88,0
1,1,81.0,0.88,0
1,1,48.0,0.9,1
1,1,48.0,0.9,0
1,1,56.0,0.9,0
1,1,68.0,0.9,1
1,1,75.0,0.9,0
1,1,81.0,0.9,0
1,1,48.0,0.92,1
1,1,68.0,0.92,0
2,1,16.0,0.64,1
2,1,19.0,0.64,0
2,1,19.0,0.68,0
2,1,32.0,0.72,0
2,1,33.0,0.72,1
2,1,33.0,0.74,1
2,1,30.0,0.76,0
2,1,42.0,0.76,1
2,1,42.0,0.76,0
2,1,33.0,0.78,1
2,1,26.0,0.8,0
2,1,30.0,0.8,1
2,1,40.0,0.82,0
2,1,54.0,0.82,0
2,1,34.0,0.84,0
2,1,34.0,0.84,1
2,1,47.0,0.84,1
2,1,47.0,0.84,0
2,1,42.0,0.88,1
2,1,47.0,0.88,1
2,1,54.0,0.88,1
2,1,54.0,0.88,0
2,1,56.0,0.88,0
2,1,60.0,0.88,0
2,1,44.0,0.92,0
